Title,Link,Abstract,Authors,Journal,Year,Citations,SearchTerm,
Phenology of roots and mycorrhiza in orchid species differing in phototrophic strategy,https://nph.onlinelibrary.wiley.com/doi/abs/10.1046/j.1469-8137.2002.00422.x,"… root development, infection and digestion of fungi according to their … phenology of foliage 
leaves and thus of photosynthesis. We recorded root phenology of all species, leaf phenology …","HN Rasmussen, DF Whigham",New Phytologist,2002,126,roots AND phenology,
"Phenology, morphology, physiology.",https://www.cabidigitallibrary.org/doi/full/10.5555/19812607760,"Prosopis species exhibit many water-saving characteristics. Deep tap roots may draw upon 
ground water while lateral roots are extensively developed, as well. Mesquite can also …","HA Mooney, BB Simpson, OT Solbrig - 1981 - cabidigitallibrary.org",,,124,roots AND phenology,
"Carbohydrate reserve, phenology, and growth cycles of nine Colorado range species.",https://journals.uair.arizona.edu/index.php/jrm/article/download/7191/6803,"… root and crown levels of TNC in fringed sagewort showed similar patterns in relation to 
phenological … the magnitude of the change over the growing season was greater in roots (Fig. 2). …","JW Menke, MJ Trlica",Rangeland Ecology & …,1981,124,roots AND phenology,
Plant phenology and soil fertility effects on below-ground carbon allocation for an annual (Bromus madritensis) and a perennial (Bromus erectus) grass species,https://www.sciencedirect.com/science/article/pii/S0038071701000335,"… CO 2 represented root respiration and microbial degradation of part of the exuded 14 C. 
Soil 14 C represented the amount of root derived 14 C left in the soil, exudates or root tissues, …","FR Warembourg, HD Estelrich",Soil Biology and Biochemistry,2001,122,roots AND phenology,
Phenological patterns of nine perennial plants in an intertropical semi-arid Mexican scrub,https://www.sciencedirect.com/science/article/pii/S0140196300907869,"… In this work, vegetative and reproductive phenological patterns are described for nine … 
Although we did not quantify root depth for the species studied, P. laevigata and C. praecox …","NP Pavón, O Briones",Journal of Arid Environments,2001,121,roots AND phenology,
Seasonal variations of belowground carbon transfer assessed by in situ 13CO2 pulse labelling of trees,https://bg.copernicus.org/articles/8/1153/2011/,"… The aim of this study was to assess the belowground transfer … pine) at distinct phenological 
stages during the growing season… in carbon allocation related to phenology, temperature and …","D Epron, J Ngao, M Dannoura, MR Bakker…",…,2011,120,belowground AND phenology,
Linking climate variability to mushroom productivity and phenology,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/110064,"… Little is known about the environmental drivers of mushroom productivity and phenology, 
partially because the life cycle of fungi is mostly belowground. Here, we present results from a …","U Büntgen, H Kauserud, S Egli",Frontiers in Ecology and the …,2012,119,belowground AND phenology,
Carbon exchange of a maize (Zea mays L.) crop: Influence of phenology,https://www.sciencedirect.com/science/article/pii/S0167880910001623,"… (2004) found a root DM of 250 g m −2 which is twice the amount of root DM we found (120 
g … , a mean root/shoot ratio of 0.19 for adult plants. This is also high, if compared to the root/…","WWP Jans, CMJ Jacobs, B Kruijt, JA Elbers…","Agriculture, ecosystems …",2010,117,roots AND phenology,
"Climatic, ecophysiological, and phenological controls on plant ecohydrological strategies in seasonally dry ecosystems",https://onlinelibrary.wiley.com/doi/abs/10.1002/eco.1533,"… implications of leaf phenology and climatic variability on … The most beneficial leaf phenology 
in terms of carbon uptake … multiple drought‐deciduous phenological strategies. We conclude …","G Vico, SE Thompson, S Manzoni, A Molini…",…,2015,117,roots AND phenology,
Soil moisture controls on phenology and productivity in a semi-arid critical zone,https://www.sciencedirect.com/science/article/pii/S0048969716310725,"… the dimorphic root distribution wherein most roots were found in dry soil near the surface, 
but with significant root just above the hardpan; and (iii) synchronisation of phenology amongst …","J Cleverly, D Eamus, NR Coupe, C Chen…",Science of the Total …,2016,115,roots AND phenology,
Environmental influence on canopy phenology in the dry tropics,https://www.sciencedirect.com/science/article/pii/S0378112705003439,"… pattern of canopy phenology over 5 years, the full canopy maintenance during dry season 
while upper soil water availability is very low and constant, and the finding of roots at the top of …","FC Do, VA Goudiaby, O Gimenez, AL Diagne…",Forest Ecology and …,2005,114,roots AND phenology,
"Shoot growth phenology, dry matter distribution and root: shoot ratios of provenances of Populus trichocarpa, Picea sitchensis and Pinus contorta growing in …",https://www.thuenen.de/media/institute/fg/PDF/Silvae_Genetica/1976/Vol._25_Heft_2/25_2_49.pdf,"… It is assumed in this paper that genotypes which have relatively heavy root systems (and … 
with light root systems, although there will, of Course, be differences in root morphology and …","MGR Cannell, SC Willett",Silvae Genet,1976,109,roots AND phenology,
Distribution of non-structural nitrogen and carbohydrate compounds in mature oak trees in a temperate forest at four key phenological stages,https://link.springer.com/article/10.1007/s00468-013-0853-5,"… at four key periods of tree phenology. Leaves, twigs, trunk and roots were sampled, and total 
… The first organs acting as a N store were coarse roots followed by twigs; whereas all oak …","S Bazot, L Barthes, D Blanot, C Fresneau",Trees,2013,106,roots AND phenology,
Phenology and resource use in three co-occurring grassland annuals,https://link.springer.com/article/10.1007/BF00384539,"… Root to shoot ratios. Because of the rockiness of the soil it was not possible to make field 
excavations to determine root/… -79 season, the roots were washed, roots and shoots were dried …","SL Gulmon, NR Chiariello, HA Mooney, CC Chu",Oecologia,1983,106,roots AND phenology,
"A paired study of prairie carbon stocks, fluxes, and phenology: comparing the world's oldest prairie restoration with an adjacent remnant",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2486.2005.01053.x,"… (C) stocks and fluxes and vegetation phenology in the world's oldest … root turnover, and 
root carbon fraction (C frac ) is 0.40 (Brye et al., 2002a). Because we were unable to sample root …","CJ Kucharik, NJ Fayram, KN Cahill",Global change biology,2006,104,roots AND phenology,
Responses of phenology and biomass production of boreal fens to climate warming under different water‐table level regimes,https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.13934,"… , phenology, biomass production, and shoot:root allocation in … Warming was associated with 
minor effects on phenology … The observed changes were also reflected in plant phenology, …","P Mäkiranta, R Laiho, L Mehtätalo…",Global Change …,2018,103,roots AND phenology,
Influence of photoperiod on shoot and root frost tolerance and bud phenology of white spruce seedlings (Piceaglauca),https://cdnsciencepub.com/doi/abs/10.1139/x93-029,"… To determine frost tolerance of shoots and roots and the phenology of apical buds under … 
, and phenology of apical buds was monitored by visual examination. The root dry mass …","FJ Bigras, AL D'Aoust",Canadian Journal of Forest Research,1993,102,roots AND phenology,
"Water relations, shoot and root architecture, and phenology of three co-occurring Banksia species: no evidence for niche differentiation in the pattern of water use",https://www.jstor.org/stable/3545070,"… their water relations, architecture and vegetative phenology. Dawn and dusk xylem … root 
patterns were similar, providing equal access to soil-stored water, with much intermingling of root …","BB Lamont, SM Bergl",Oikos,1991,100,roots AND phenology,
"Biomass, phenology, and growth",https://link.springer.com/chapter/10.1007/978-1-4612-5896-4_4,"… Shrub structures and root-to-shoot biomass ratios in the vegetation at Echo Valley and … 
courses of phenological events, including detailed information on leaf, stem, and root growth, are …","J Kummerow, G Montenegro, D Krause",Resource Use by Chaparral and …,1981,98,roots AND phenology,
Phenological mismatches between above-and belowground plant responses to climate warming,https://www.nature.com/articles/s41558-021-01244-x,"… change) AND (root production OR root mortality OR root turnover OR standing biomass 
OR root longevity OR standing crop OR root length OR lifespan OR root phenology) AND (shoot …","H Liu, H Wang, N Li, J Shao, X Zhou…",Nature climate …,2022,98,roots AND phenology,
Dwelling in the deep–strongly increased root growth and rooting depth enhance plant interactions with thawing permafrost soil,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15903,"… We nondestructively monitored root depth distribution, root growth phenology, and root 
mortality for over a year, and assessed above-ground plant community composition to compare …","G Blume‐Werry, A Milbau, LM Teuber…",New …,2019,98,roots AND phenology,
Synergistic Effects of Drought Stress and Photoperiods on Phenology and Secondary Metabolism of Silybum marianum,https://link.springer.com/article/10.1007/s12010-014-1098-5,"… Water deficiency inhibited root induction completely and retarded plant growth was observed; 
… The effects of drought stress are discussed in relation to phenology, seed germination …","A Zahir, BH Abbasi, M Adil, S Anjum, M Zia",Applied Biochemistry and …,2014,96,roots AND phenology,
